isbn,title,author,year
1416949658,The Dark Is Rising,Susan Cooper,1973
1857231082,The Black Unicorn ,Terry Brooks,1987
553803700,"I, Robot",Isaac Asimov,1950
080213825X,Four Blondes,Candace Bushnell,2000
375913750,"Love, Stargirl",Jerry Spinelli,2007
074349671X,The Tenth Circle,Jodi Picoult,2006
743454553,Vanishing Acts,Jodi Picoult,2005
765317508,Aztec,Gary Jennings,1980
142501085,Marlfox,Brian Jacques,1998
1442468351,Lady Midnight,Cassandra Clare,2016
1439152802,The Secret Keeper,Kate Morton,2012
399153942,The Afghan,Frederick Forsyth,2006
1451648537,Steve Jobs,Walter Isaacson,2011
590396560,Cold Fire,Tamora Pierce,2002
803734735,Bitterblue,Kristin Cashore,2012
055337849X,The Brothers K,David James Duncan,1992
61150142,The Pact,Jodi Picoult,1998
62076108,Twice Tempted ,Jeaniene Frost,2013
039925675X,Legend,Marie Lu,2011
1595543414,Thr3e,Ted Dekker,2003
385339607,The Rainmaker,John Grisham,1995
1250012570,Eleanor & Park,Rainbow Rowell,2013
440225450,The Final Detail,Harlan Coben,1999
670016780,Half Bad,Sally Green,2014
61662763,The Awakening,Kelley Armstrong,2009
006117758X,Ham on Rye,Charles Bukowski,1982
1423102266,The Van Alen Legacy ,Melissa de la Cruz,2009
067056172X,A Pocket for Corduroy,Don Freeman,1978
385339097,The Street Lawyer,John Grisham,1998
413757102,Revolutionary Road,Richard Yates,1961
441569595,Neuromancer,William Gibson,1984
684833395,Catch-22,Joseph Heller,1961
1416950737,sTORI Telling,Tori Spelling,2008
140501827,The Snowy Day,Ezra Jack Keats,1962
99285444,Invisible Monsters,Chuck Palahniuk,1999
552555703,Noughts & Crosses,Malorie Blackman,2001
671047345,Separation of Power,Vince Flynn,2001
812995341,Lincoln in the Bardo,George Saunders,2017
553589377,Kiss of Midnight,Lara Adrian,2007
1476798176,Did You Ever Have a Family,Bill Clegg,2015
395870828,Tuesday,David Wiesner,1991
743417321,Cabal,Clive Barker,1988
345424646,A Knight of the Word ,Terry Brooks,1998
393062627,The Lonely Polygamist,Brady Udall,2010
312624670,Born at Midnight,C.C. Hunter,2011
451235843,Lover Reborn,J.R. Ward,2012
1400079497,The Plot Against America,Philip Roth,2004
1857988094,I Am Legend ,Richard Matheson,1954
1423121309,Hex Hall,Rachel Hawkins,2010
451169514,It,Stephen King,1986
61053562,The Player of Games,Iain M. Banks,1988
156949601,The Waves,Virginia Woolf,1931
446617792,The Angel Experiment,James Patterson,2005
60096187,Teen Idol,Meg Cabot,2004
345484088,Armageddon's Children,Terry Brooks,2006
345379063,Legend ,David Gemmell,1984
312932804,Welcome to Temptation,Jennifer Crusie,1996
1857989341,The Gods Themselves,Isaac Asimov,1972
425234339,Bullet,Laurell K. Hamilton,2010
812966929,number9dream,David Mitchell,2001
62049879,A Week to Be Wicked,Tessa Dare,2012
7198914,A Place Called Here,Cecelia Ahern,2006
393307050,Master and Commander,Patrick O'Brian,1969
802136834,The Six Wives of Henry VIII,Alison Weir,1980
553590162,Industrial Magic,Kelley Armstrong,2004
439441722,The Will of the Empress,Tamora Pierce,2005
446611212,Violets Are Blue,James Patterson,2001
61092193,Men at Arms,Terry Pratchett,1993
034541005X,The Power of One,Bryce Courtenay,1989
670022411,A Discovery of Witches,Deborah Harkness,2011
1451683405,Free Will,Sam Harris,2012
440242916,Faithless,Karin Slaughter,2005
345519515,Never Love a Highlander,Maya Banks,2011
671888587,I'll Be Seeing You,Mary Higgins Clark,1993
006170654X,Wench,Dolen Perkins-Valdez,2009
1423140605,The Mark of Athena,Rick Riordan,2012
224085611,Her Fearful Symmetry,Audrey Niffenegger,2009
1423108760,Bad Girls Don't Die,Katie Alender,2009
553293427,Pebble in the Sky,Isaac Asimov,1950
739437585,Safe Harbour,Danielle Steel,2003
068482535X,Lincoln,David Herbert Donald,1995
141382899,The Titan's Curse,Rick Riordan,2007
802151825,Tropic of Capricorn,Henry Miller,1938
452287065,The Bluest Eye,Toni Morrison,1970
034552795X,Wife 22,Melanie Gideon,2008
069401298X,Frog and Toad Together,Arnold Lobel,1971
60852577,The Lacuna,Barbara Kingsolver,2009
1561797464,A Christmas Carol,Charles Dickens,1843
767915593,Straight Talking,Jane Green,1997
1400078776,Never Let Me Go,Kazuo Ishiguro,2005
6161413,Ice Station Zebra,Alistair MacLean,1963
385491069,The Edible Woman,Margaret Atwood,1969
451208188,The English Assassin,Daniel Silva,2002
312942303,Born of the Night,Sherrilyn Kenyon,1996
345438310,Nicholas and Alexandra,Robert K. Massie,1967
60652381,A Grief Observed,C.S. Lewis,1961
140690483X,"Right Ho, Jeeves",P.G. Wodehouse,1934
743482883,Mr. Perfect,Linda Howard,2000
312364687,Shoe Addicts Anonymous ,Beth Harbison,2007
671702505,The Gift,Julie Garwood,1991
031605755X,Winter's Bone,Daniel Woodrell,2006
375701230,A Death in the Family,James Agee,1957
345495357,The Lady Elizabeth,Alison Weir,2008
60760885,One Crazy Summer,Rita Williams-Garcia,2010
307347974,Fahrenheit 451,Ray Bradbury,1953
547959206,Independent Study,Joelle Charbonneau,2014
553535641,Tell Me Three Things,Julie Buxbaum,2016
312377037,The Brutal Telling,Louise Penny,2009
1416528636,Little Earthquakes,Jennifer Weiner,2004
375822747,The City of Ember,Jeanne DuPrau,2003
375409289,A Gate at the Stairs,Lorrie Moore,2009
148234873X,Beauty from Pain,Georgia Cates,2013
743428188,The Twentieth Wife,Indu Sundaresan,2002
99366614,The Big Nowhere,James Ellroy,1988
385538030,Beautiful You,Chuck Palahniuk,2014
385335970,Dragonfly in Amber,Diana Gabaldon,1992
439286069,Freak the Mighty,Rodman Philbrick,1993
553573357,Blue Mars ,Kim Stanley Robinson,1996
747560595,The Virgin Suicides,Jeffrey Eugenides,1993
743234413,Cloudstreet,Tim Winton,1991
767900383,Under the Tuscan Sun,Frances Mayes,1996
765328666,Girl of Nightmares,Kendare Blake,2012
307272591,Bad Monkey,Carl Hiaasen,2013
871404028,High-Rise,J.G. Ballard,1975
60827882,Trinity: A Novel of Ireland,Leon Uris,1976
156030306,Flowers for Algernon,Daniel Keyes,1966
60548266,The Hollow Hills,Mary  Stewart,1973
312997124,First Among Equals,Jeffrey Archer,1983
670447161,Madeline's Rescue,Ludwig Bemelmans,1953
373250118,See Jane Date,Melissa Senate,2001
1250069793,Truly Madly Guilty,Liane Moriarty,2016
425256758,Dead Heat,Patricia Briggs,2015
553584480,The Face,Dean Koontz,2003
1401341705,The Collaborator,Margaret Leroy,2011
1408319462,Slated,Teri Terry,2012
60638508,Sein und Zeit,Martin Heidegger,1927
446608890,Saving Faith,David Baldacci,1999
030734813X,Jurassic Park,Michael Crichton,1990
688147321,Chrysanthemum,Kevin Henkes,1991
375868704,The Emerald Atlas,John  Stephens,2011
61931411,Dragon Haven,Robin Hobb,2010
074324754X,The Glass Castle,Jeannette Walls,2005
552154288,Hogfather,Terry Pratchett,1996
1400030269,Plateforme,Michel Houellebecq,2001
61002828,The Hellbound Heart,Clive Barker,1986
553573861,Zodiac,Neal Stephenson,1988
044101173X,Redemption Ark,Alastair Reynolds,2003
425205754,Montana Sky,Nora Roberts,1996
60554738,The Game,Neil Strauss,2005
671670689,Dawn ,V.C. Andrews,1990
778325342,Fire Study,Maria V. Snyder,2008
385539703,The Children Act,Ian McEwan,2014
006102001X,The Struggle,L.J. Smith,1991
038553292X,Lawrence in Arabia,Scott Anderson,2013
446573108,The Sixth Man,David Baldacci,2011
068480154X,Tender Is the Night,F. Scott Fitzgerald,1933
60786507,The Poisonwood Bible,Barbara Kingsolver,1998
61719544,American on Purpose,Craig Ferguson,2009
61929379,Pirate Latitudes,Michael Crichton,2009
380811081,Again the Magic ,Lisa Kleypas,2004
385539126,Stone Mattress,Margaret Atwood,2014
316056219,Ship Breaker,Paolo Bacigalupi,2010
345482409,Enchantment,Orson Scott Card,1999
60512741,The Lathe of Heaven,Ursula K. Le Guin,1971
786816589,Crispin: The Cross of Lead,Avi,2002
1408816032,The Song of Achilles,Madeline Miller,2011
399154779,Dark of the Moon,John Sandford,2004
1476789258,Eight Hundred Grapes,Laura Dave,2015
1481420763,Bad for You,Abbi Glines,2014
316154512,A Wedding in December,Anita Shreve,2005
553807188,The Accident,Linwood Barclay,2011
765336413,The Providence of Fire,Brian Staveley,2015
312938829,Dream Chaser,Sherrilyn Kenyon,2008
515142891,Finding the Dream,Nora Roberts,1996
143914799X,Web of Lies,Jennifer Estep,2010
394895894,The Ruby in the Smoke,Philip Pullman,1985
1416595163,Pursuit of Honor,Vince Flynn,2009
141659518X,American Assassin,Vince Flynn,2010
679772677,A Civil Action,Jonathan Harr,1995
031632468X,Frog Music,Emma Donoghue,2014
586217835,Magician,Raymond E. Feist,1982
345388666,The Shining Ones,David Eddings,1993
751504386,Skeleton Crew,Stephen King,1985
1595542779,Skin,Ted Dekker,2006
505527847,Trouble in Mudbug,Jana Deleon,2009
